"StornoWert";"CURRENCYCODE";"SALESID";"CUSTOMERREF";"PAYMMODE";"CUSTREF";"SALESID";"INVOICE_CUSTPAYMMODE";"SENDQUEUESTATUS";"expr5"
"78.8000000000000000";"CHF";"A00005700201";"400226504";"PREPAY";"";"";"";"";""
"279.0000000000000000";"CHF";"A00005800238";"400274984";"PAYOLUTION";"400274984";"A00005800238";"PAYOLUTION";"1";"279.0000000000000000"
"504.0000000000000000";"CHF";"A00005800303";"400275482";"PENSIO_CC";"";"";"";"";""
"209.0000000000000000";"CHF";"A00005800620";"400238527";"PAYOLUTION";"400238527";"A00005800620";"PAYOLUTION";"1";"209.0000000000000000"
"99.0000000000000000";"CHF";"A0002000002";"400225442";"PAYOLUTION";"";"";"";"";""
"55.6100000000000000";"CHF";"A0005484359";"400262260";"PREPAY";"";"";"";"";""
"209.0000000000000000";"CHF";"A0005629132";"400271158";"PAYPAL";"400271158";"A0005629132";"PAYPAL";"1";"209.0000000000000000"
"9.4000000000000000";"CHF";"A0005629979";"400271070";"PENSIO_CC";"";"";"";"";""
"68.0000000000000000";"CHF";"A0005647524";"400272495";"PAYOLUTION";"";"";"";"";""
"103.1000000000000000";"CHF";"A0005651112";"400272873";"PENSIO_CC";"";"";"";"";""
"51.1000000000000000";"CHF";"A0005661824";"400273466";"PAYOLUTION";"";"";"";"";""
"163.8000000000000000";"CHF";"A0005686532";"400274816";"PAYOLUTION";"";"";"";"";""
"46.4000000000000000";"CHF";"A0005800108";"400274634";"PAYOLUTION";"400274634";"A0005800108";"PAYOLUTION";"1";"46.4000000000000000"
"245.0000000000000000";"CHF";"A0005800221";"400274922";"PAYPAL";"400274922";"A0005800221";"PAYPAL";"1";"245.0000000000000000"
"35.0000000000000000";"CHF";"A0005800617";"400238289";"PAYOLUTION";"400238289";"A0005800617";"PAYOLUTION";"1";"35.0000000000000000"
"57.5000000000000000";"CHF";"A0005800630";"400240984";"PREPAY";"";"";"";"";""
"63.3000000000000000";"CHF";"A0005801296";"400275970";"PREPAY";"";"";"";"";""
"164.4000000000000000";"CHF";"A0005801957";"400274764";"PENSIO_CC";"";"";"";"";""
"37.9000000000000000";"CHF";"A0005802128";"400275286";"PREPAY";"";"";"";"";""
"14.5000000000000000";"CHF";"A0005802441";"400262279";"PREPAY";"";"";"";"";""
"27.8000000000000000";"CHF";"A0005802455";"400264346";"PREPAY";"";"";"";"";""
"131.0000000000000000";"CHF";"A0005802579";"400260355";"PENSIO_CC";"";"";"";"";""
"199.0000000000000000";"CHF";"A0005802581";"400260453";"PENSIO_CC";"";"";"";"";""
"88.0000000000000000";"CHF";"A0005802979";"400275196";"PENSIO_CC";"";"";"";"";""
"11.8000000000000000";"CHF";"A0005803564";"400276540";"PREPAY";"";"";"";"";""
"220.9000000000000000";"CHF";"A0005803630";"400276154";"PREPAY";"";"";"";"";""
"61.9000000000000000";"CHF";"A0005803653";"400276020";"PAYPAL";"400276020";"A0005803653";"PAYPAL";"1";"61.9000000000000000"
"58.8000000000000000";"CHF";"A0005804546";"400276404";"PREPAY";"";"";"";"";""
"43.5000000000000000";"CHF";"A0005805165";"400275942";"PAYOLUTION";"400275942";"A0005805165";"PAYOLUTION";"1";"43.5000000000000000"
"69.6000000000000000";"CHF";"A0005805882";"400276349";"PENSIO_CC";"";"";"";"";""
"24.2000000000000000";"CHF";"A0005806348";"400265032";"GOODWILL";"";"";"";"";""
"21.7500000000000000";"CHF";"A0005806512";"400273996";"PREPAY";"";"";"";"";""
"72.0000000000000000";"CHF";"A0005806547";"400274032";"PREPAY";"";"";"";"";""
"24.9000000000000000";"CHF";"A0005806740";"400276287";"PAYOLUTION";"400276287";"A0005806740";"PAYOLUTION";"1";"24.9000000000000000"
"99.6000000000000000";"CHF";"A0005806772";"400273864";"PREPAY";"";"";"";"";""
"132.6000000000000000";"CHF";"A0005807047";"400241362";"PREPAY";"";"";"";"";""
"34.2000000000000000";"CHF";"A0005807238";"400274492";"PREPAY";"";"";"";"";""
"21.3000000000000000";"CHF";"A0005807242";"400274494";"PREPAY";"";"";"";"";""
"23.9000000000000000";"CHF";"A0005807252";"400274497";"PREPAY";"";"";"";"";""
"11.8000000000000000";"CHF";"A0005807256";"400274498";"PREPAY";"";"";"";"";""
"56.5000000000000000";"CHF";"A0005807388";"400273987";"PREPAY";"";"";"";"";""
"67.0500000000000000";"CHF";"A0005807401";"400273998";"PREPAY";"";"";"";"";""
"88.9000000000000000";"CHF";"A0005807433";"400274029";"PREPAY";"";"";"";"";""
"59.9000000000000000";"CHF";"A0005807846";"400274306";"PENSIO_CC";"";"";"";"";""
"52.0000000000000000";"CHF";"A0005808667";"400274294";"PAYOLUTION";"400274294";"A0005808667";"PAYOLUTION";"1";"52.0000000000000000"
"11.8000000000000000";"CHF";"A0005809050";"400274483";"PREPAY";"";"";"";"";""
"12.5500000000000000";"CHF";"A0005809056";"400274488";"PREPAY";"";"";"";"";""
"126.0000000000000000";"CHF";"A0005809105";"400274505";"PAYOLUTION";"400274505";"A0005809105";"PAYOLUTION";"1";"126.0000000000000000"
"11.1000000000000000";"CHF";"A0005809113";"400274553";"PREPAY";"";"";"";"";""
"128.7500000000000000";"CHF";"A0005809229";"400274569";"PREPAY";"";"";"";"";""
"52.9000000000000000";"CHF";"A0005810268";"400259407";"PENSIO_CC";"";"";"";"";""
"11.8000000000000000";"CHF";"A0005810325";"400274556";"PREPAY";"";"";"";"";""
"11.4000000000000000";"CHF";"A0005810843";"400275458";"PREPAY";"";"";"";"";""
"60.0000000000000000";"CHF";"A0005810875";"400274917";"PREPAY";"";"";"";"";""
"114.8500000000000000";"CHF";"A0005810898";"400274986";"PREPAY";"";"";"";"";""
"1042.0000000000000000";"CHF";"A0005811009";"400247951";"PENSIO_CC";"";"";"";"";""
"85.0000000000000000";"CHF";"A0005811011";"400255304";"PAYOLUTION";"400255304";"A0005811011";"PAYOLUTION";"1";"85.0000000000000000"
"50.7000000000000000";"CHF";"A0005811057";"400275202";"PREPAY";"";"";"";"";""
"99.0000000000000000";"CHF";"A0005811108";"400274740";"PAYOLUTION";"";"";"";"";""
"17.1000000000000000";"CHF";"A0005811182";"400251240";"PREPAY";"";"";"";"";""
"9.4000000000000000";"CHF";"A0005811372";"400274777";"PREPAY";"";"";"";"";""
"1491.9000000000000000";"CHF";"A0005811394";"400241056";"PREPAY";"";"";"";"";""
"32.5000000000000000";"CHF";"A0005811408";"400242851";"PREPAY";"";"";"";"";""
"59.3000000000000000";"CHF";"A0005811414";"400227731";"PREPAY";"";"";"";"";""
"397.6000000000000000";"CHF";"A0005811419";"400245097";"PREPAY";"";"";"";"";""
"53.9000000000000000";"CHF";"A0005811429";"400246010";"PAYOLUTION";"400246010";"A0005811429";"PAYOLUTION";"1";"53.9000000000000000"
"12.8000000000000000";"CHF";"A0005811430";"400246401";"PAYPAL";"400246401";"A0005811430";"PAYPAL";"1";"12.8000000000000000"
"17.5000000000000000";"CHF";"A0005811449";"400244779";"PAYOLUTION";"400244779";"A0005811449";"PAYOLUTION";"1";"17.5000000000000000"
"44.9000000000000000";"CHF";"A0005811450";"400248175";"PAYOLUTION";"400248175";"A0005811450";"PAYOLUTION";"1";"44.9000000000000000"
"65.0800000000000000";"CHF";"A0005811459";"400248827";"PAYPAL";"400248827";"A0005811459";"PAYPAL";"1";"65.0800000000000000"
"3.5000000000000000";"CHF";"A0005811463";"400247757";"PREPAY";"";"";"";"";""
"69.9000000000000000";"CHF";"A0005811480";"400250007";"PAYOLUTION";"400250007";"A0005811480";"PAYOLUTION";"1";"69.9000000000000000"
"6.3000000000000000";"CHF";"A0005811485";"400246237";"PREPAY";"";"";"";"";""
"1199.0200000000000000";"CHF";"A0005811513";"400251502";"PREPAY";"";"";"";"";""
"91.9000000000000000";"CHF";"A0005811543";"400236367";"PAYOLUTION";"400236367";"A0005811543";"PAYOLUTION";"1";"91.9000000000000000"
"165.9500000000000000";"CHF";"A0005811546";"400250521";"PAYOLUTION";"400250521";"A0005811546";"PAYOLUTION";"1";"165.9500000000000000"
"84.9000000000000000";"CHF";"A0005811563";"400254252";"PAYOLUTION";"400254252";"A0005811563";"PAYOLUTION";"1";"84.9000000000000000"
"59.5000000000000000";"CHF";"A0005811569";"400254674";"PAYOLUTION";"400254674";"A0005811569";"PAYOLUTION";"1";"59.5000000000000000"
"79.9000000000000000";"CHF";"A0005811586";"400255180";"PAYOLUTION";"400255180";"A0005811586";"PAYOLUTION";"1";"79.9000000000000000"
"16.9000000000000000";"CHF";"A0005811590";"400247064";"PREPAY";"";"";"";"";""
"424.0000000000000000";"CHF";"A0005811609";"400255566";"PREPAY";"";"";"";"";""
"11.8000000000000000";"CHF";"A0005811641";"400250778";"PAYOLUTION";"400250778";"A0005811641";"PAYOLUTION";"1";"11.8000000000000000"
"249.0000000000000000";"CHF";"A0005811694";"400255775";"PENSIO_CC";"";"";"";"";""
"19.2000000000000000";"CHF";"A0005811715";"400239616";"PENSIO_CC";"";"";"";"";""
"55.0000000000000000";"CHF";"A0005811764";"400256794";"PAYOLUTION";"400256794";"A0005811764";"PAYOLUTION";"1";"55.0000000000000000"
"58.9000000000000000";"CHF";"A0005811773";"400256983";"PREPAY";"";"";"";"";""
"18.4000000000000000";"CHF";"A0005811774";"400257001";"PAYOLUTION";"400257001";"A0005811774";"PAYOLUTION";"1";"18.4000000000000000"
"770.0000000000000000";"CHF";"A0005811787";"400256526";"PAYOLUTION";"400256526";"A0005811787";"PAYOLUTION";"1";"770.0000000000000000"
"1086.0000000000000000";"CHF";"A0005811791";"400257287";"PREPAY";"";"";"";"";""
"1345.0000000000000000";"CHF";"A0005811798";"400257355";"PREPAY";"";"";"";"";""
"1430.0000000000000000";"CHF";"A0005811805";"400257558";"PREPAY";"";"";"";"";""
"43.1000000000000000";"CHF";"A0005812041";"400275152";"PREPAY";"";"";"";"";""
"143.8000000000000000";"CHF";"A0005812423";"400257770";"PREPAY";"";"";"";"";""
"1654.7500000000000000";"CHF";"A0005812640";"400257508";"PREPAY";"";"";"";"";""
"848.0000000000000000";"CHF";"A0005812809";"400259980";"PREPAY";"";"";"";"";""
"8.4000000000000000";"CHF";"A0005813008";"400262496";"PAYOLUTION";"400262496";"A0005813008";"PAYOLUTION";"1";"8.4000000000000000"
"34.7500000000000000";"CHF";"A0005813017";"400263290";"PAYOLUTION";"400263290";"A0005813017";"PAYOLUTION";"1";"34.7500000000000000"
"69.9000000000000000";"CHF";"A0005813019";"400263119";"PAYOLUTION";"400263119";"A0005813019";"PAYOLUTION";"1";"69.9000000000000000"
"49.9000000000000000";"CHF";"A0005813049";"400266462";"PENSIO_CC";"";"";"";"";""
"59.5000000000000000";"CHF";"A0005813221";"400254443";"PAYOLUTION";"400254443";"A0005813221";"PAYOLUTION";"1";"59.5000000000000000"
"55.7000000000000000";"CHF";"A0005813229";"400261909";"PREPAY";"";"";"";"";""
"68.9000000000000000";"CHF";"A0005813233";"400261928";"PREPAY";"";"";"";"";""
"10.6000000000000000";"CHF";"A0005813247";"400258856";"PAYOLUTION";"400258856";"A0005813247";"PAYOLUTION";"1";"10.6000000000000000"
"108.0000000000000000";"CHF";"A0005813259";"400262779";"PENSIO_CC";"";"";"";"";""
"7.9000000000000000";"CHF";"A0005813272";"400254878";"PENSIO_CC";"";"";"";"";""
"49.9000000000000000";"CHF";"A0005813277";"400268115";"PAYOLUTION";"400268115";"A0005813277";"PAYOLUTION";"1";"49.9000000000000000"
"608.0000000000000000";"CHF";"A0005813278";"400268122";"PENSIO_CC";"";"";"";"";""
"47.4000000000000000";"CHF";"A0005813339";"400264500";"PREPAY";"";"";"";"";""
"69.8000000000000000";"CHF";"A0005813343";"400267881";"PENSIO_CC";"";"";"";"";""
"123.0000000000000000";"CHF";"A0005813419";"400261963";"PAYOLUTION";"400261963";"A0005813419";"PAYOLUTION";"1";"123.0000000000000000"
"74.9000000000000000";"CHF";"A0005813432";"400259754";"PREPAY";"";"";"";"";""
"46.8000000000000000";"CHF";"A0005813470";"400261753";"PREPAY";"";"";"";"";""
"66.0000000000000000";"CHF";"A0005813473";"400261791";"PREPAY";"";"";"";"";""
"59.4000000000000000";"CHF";"A0005813492";"400261846";"PREPAY";"";"";"";"";""
"49.9000000000000000";"CHF";"A0005813494";"400257422";"PREPAY";"";"";"";"";""
"699.0000000000000000";"CHF";"A0005813502";"400261940";"PENSIO_CC";"";"";"";"";""
"125.2000000000000000";"CHF";"A0005813533";"400262229";"PREPAY";"";"";"";"";""
"32.8000000000000000";"CHF";"A0005813574";"400262315";"PREPAY";"";"";"";"";""
"75.9000000000000000";"CHF";"A0005813585";"400262388";"PREPAY";"";"";"";"";""
"14.8000000000000000";"CHF";"A0005813630";"400262521";"PREPAY";"";"";"";"";""
"78.1000000000000000";"CHF";"A0005813631";"400262520";"PREPAY";"";"";"";"";""
"178.2000000000000000";"CHF";"A0005813714";"400262550";"PREPAY";"";"";"";"";""
"45.1000000000000000";"CHF";"A0005813811";"400262843";"PAYOLUTION";"";"";"";"";""
"52.0000000000000000";"CHF";"A0005813834";"400262968";"PREPAY";"";"";"";"";""
"43.5000000000000000";"CHF";"A0005813917";"400263885";"PREPAY";"";"";"";"";""
"132.9000000000000000";"CHF";"A0005813944";"400264226";"PREPAY";"";"";"";"";""
"131.9000000000000000";"CHF";"A0005813973";"400263975";"PREPAY";"";"";"";"";""
"50.8000000000000000";"CHF";"A0005813988";"400264019";"PREPAY";"";"";"";"";""
"18.5000000000000000";"CHF";"A0005814102";"400263878";"PREPAY";"";"";"";"";""
"8.2500000000000000";"CHF";"A0005814103";"400263888";"PREPAY";"";"";"";"";""
"10.7500000000000000";"CHF";"A0005814104";"400263893";"PREPAY";"";"";"";"";""
"46.8000000000000000";"CHF";"A0005814106";"400263894";"PREPAY";"";"";"";"";""
"18.7000000000000000";"CHF";"A0005814164";"400264077";"PREPAY";"";"";"";"";""
"13.9000000000000000";"CHF";"A0005814192";"400264017";"PREPAY";"";"";"";"";""
"236.0000000000000000";"CHF";"A0005814212";"400264100";"PREPAY";"";"";"";"";""
"48.9000000000000000";"CHF";"A0005814222";"400264239";"PREPAY";"";"";"";"";""
"77.3500000000000000";"CHF";"A0005814308";"400264653";"PREPAY";"";"";"";"";""
"514.0000000000000000";"CHF";"A0005814334";"400264851";"PREPAY";"";"";"";"";""
"55.9000000000000000";"CHF";"A0005814349";"400265026";"PENSIO_CC";"";"";"";"";""
"295.0000000000000000";"CHF";"A0005814393";"400194488";"PREPAY";"";"";"";"";""
"388.0000000000000000";"CHF";"A0005814447";"400265230";"PREPAY";"";"";"";"";""
"459.0000000000000000";"CHF";"A0005814448";"400266422";"PREPAY";"";"";"";"";""
"12.7000000000000000";"CHF";"A0005814503";"400265247";"PAYOLUTION";"400265247";"A0005814503";"PAYOLUTION";"1";"12.7000000000000000"
"61.1000000000000000";"CHF";"A0005814534";"400265525";"PREPAY";"";"";"";"";""
"81.0000000000000000";"CHF";"A0005814591";"400265550";"PREPAY";"";"";"";"";""
"56.0000000000000000";"CHF";"A0005814611";"400265631";"PREPAY";"";"";"";"";""
"486.2000000000000000";"CHF";"A0005814875";"400227331";"PREPAY";"";"";"";"";""
"23.9000000000000000";"CHF";"A0005814884";"400253979";"PAYPAL";"400253979";"A0005814884";"PAYPAL";"1";"23.9000000000000000"
"131.0000000000000000";"CHF";"A0005814886";"400264831";"PAYOLUTION";"400264831";"A0005814886";"PAYOLUTION";"1";"131.0000000000000000"
"67.3000000000000000";"CHF";"A0005814899";"400264952";"PREPAY";"";"";"";"";""
"136.2000000000000000";"CHF";"A0005814912";"400265073";"PREPAY";"";"";"";"";""
"178.2000000000000000";"CHF";"A0005814974";"400265191";"PREPAY";"";"";"";"";""
"181.2000000000000000";"CHF";"A0005815137";"400265828";"PREPAY";"";"";"";"";""
"29.7000000000000000";"CHF";"A0005815452";"400267785";"PREPAY";"";"";"";"";""
"96.4000000000000000";"CHF";"A0005815596";"400267169";"PAYOLUTION";"400267169";"A0005815596";"PAYOLUTION";"1";"96.4000000000000000"
"25.8000000000000000";"CHF";"A0005815605";"400267196";"PREPAY";"";"";"";"";""
"150.0000000000000000";"CHF";"A0005815616";"400267244";"PREPAY";"";"";"";"";""
"41.1000000000000000";"CHF";"A0005815728";"400267433";"PREPAY";"";"";"";"";""
"298.2500000000000000";"CHF";"A0005815805";"400268370";"PREPAY";"";"";"";"";""
"12.9000000000000000";"CHF";"A0005815812";"400268397";"PREPAY";"";"";"";"";""
"55.8000000000000000";"CHF";"A0005815833";"400268570";"PREPAY";"";"";"";"";""
"54.1900000000000000";"CHF";"A0005816249";"400266639";"PREPAY";"";"";"";"";""
"38.1000000000000000";"CHF";"A0005816439";"400267150";"PREPAY";"";"";"";"";""
"46.6000000000000000";"CHF";"A0005816509";"400267365";"PREPAY";"";"";"";"";""
"25.4000000000000000";"CHF";"A0005816510";"400267366";"PREPAY";"";"";"";"";""
"87.9000000000000000";"CHF";"A0005816607";"400243131";"PREPAY";"";"";"";"";""
"81.8000000000000000";"CHF";"A0005816667";"400268037";"PREPAY";"";"";"";"";""
"35.9500000000000000";"CHF";"A0005816692";"400251543";"PREPAY";"";"";"";"";""
"77.5500000000000000";"CHF";"A0005816835";"400268359";"PREPAY";"";"";"";"";""
"183.7000000000000000";"CHF";"A0005816871";"400268504";"PREPAY";"";"";"";"";""
"30.6000000000000000";"CHF";"A0005816911";"400268309";"PENSIO_CC";"";"";"";"";""
"58.6500000000000000";"CHF";"A0005816974";"400267802";"PAYOLUTION";"400267802";"A0005816974";"PAYOLUTION";"1";"58.6500000000000000"
"68.1000000000000000";"CHF";"A0005817004";"400268450";"PREPAY";"";"";"";"";""
"25.4500000000000000";"CHF";"A0005817502";"400268690";"PREPAY";"";"";"";"";""
"58.5500000000000000";"CHF";"A0005817570";"400268748";"PREPAY";"";"";"";"";""
"51.9000000000000000";"CHF";"A0005817577";"400268764";"PREPAY";"";"";"";"";""
"1421.0000000000000000";"CHF";"A0005817583";"400268787";"PREPAY";"";"";"";"";""
"36.8000000000000000";"CHF";"A0005817588";"400268816";"PREPAY";"";"";"";"";""
"36.8000000000000000";"CHF";"A0005817589";"400268817";"PREPAY";"";"";"";"";""
"14.9000000000000000";"CHF";"A0005817735";"400268634";"PREPAY";"";"";"";"";""
"35.4000000000000000";"CHF";"A0005817765";"400268656";"PREPAY";"";"";"";"";""
"19.8000000000000000";"CHF";"A0005817865";"400268835";"PREPAY";"";"";"";"";""
"296.0000000000000000";"CHF";"A0005817871";"400268856";"PREPAY";"";"";"";"";""
"13.6000000000000000";"CHF";"A0005826677";"400276887";"paypal";"400276887";"A0005826677";"paypal";"1";"13.6000000000000000"
"59.9000000000000000";"CHF";"A0005826700";"400276734";"pensio_cc";"";"";"";"";""
"92.5000000000000000";"CHF";"A0005826701";"400276748";"pensio_cc";"";"";"";"";""
"50.1000000000000000";"CHF";"A0005827129";"400276850";"PREPAY_HYP";"";"";"";"";""
"1221.7000000000000000";"CHF";"A0005827151";"400277078";"PREPAY_HYP";"";"";"";"";""
"938.0000000000000000";"CHF";"A0005827175";"400276987";"PREPAY_HYP";"";"";"";"";""
"46.9000000000000000";"CHF";"A0005827186";"400277066";"PREPAY_HYP";"";"";"";"";""
"83.2100000000000000";"CHF";"A0005827620";"400276730";"payolution";"400276730";"A0005827620";"payolution";"1";"83.2100000000000000"
"50.7000000000000000";"CHF";"A0005827680";"400277822";"PREPAY_HYP";"";"";"";"";""
"178.0000000000000000";"CHF";"A0005828352";"400277458";"PREPAY_HYP";"";"";"";"";""
"56.6000000000000000";"CHF";"A0005828412";"400277739";"PREPAY_HYP";"";"";"";"";""
"1827.0000000000000000";"CHF";"A0005828499";"400269187";"PREPAY";"";"";"";"";""
"378.0000000000000000";"CHF";"A0005828875";"400269396";"PREPAY";"";"";"";"";""
"56.3000000000000000";"CHF";"A0005828914";"400269250";"PREPAY";"";"";"";"";""
"98.1900000000000000";"CHF";"A0005828984";"400269450";"PENSIO_CC";"";"";"";"";""
"31.2000000000000000";"CHF";"A0005829023";"400276986";"PREPAY_HYP";"";"";"";"";""
"1679.0000000000000000";"CHF";"A0005829024";"400276990";"PREPAY_HYP";"";"";"";"";""
"30.6000000000000000";"CHF";"A0005829038";"400277051";"PREPAY_HYP";"";"";"";"";""
"121.0000000000000000";"CHF";"A0005829044";"400277084";"PREPAY_HYP";"";"";"";"";""
"-71.4000000000000000";"CHF";"A0005829101";"400277047";"payolution";"";"";"";"";""
"423.3000000000000000";"CHF";"A0005829216";"400277766";"PREPAY_HYP";"";"";"";"";""
"103.6500000000000000";"CHF";"A0005829235";"400277869";"PREPAY_HYP";"";"";"";"";""
"137.0000000000000000";"CHF";"A0005829649";"400269265";"PREPAY";"";"";"";"";""
"119.0000000000000000";"CHF";"A0005829736";"400277319";"payolution";"400277319";"A0005829736";"payolution";"1";"119.0000000000000000"
"10.6000000000000000";"CHF";"A0005829751";"400277435";"PREPAY_HYP";"";"";"";"";""
"242.9000000000000000";"CHF";"A0005829767";"400277509";"PREPAY_HYP";"";"";"";"";""
"65.6000000000000000";"CHF";"A0005829782";"400277598";"pensio_cc";"";"";"";"";""
"172.0000000000000000";"CHF";"A0005829802";"400277664";"PREPAY_HYP";"";"";"";"";""
"99.9000000000000000";"CHF";"A0005829814";"400277700";"PREPAY_HYP";"";"";"";"";""
"32.4000000000000000";"CHF";"A0005829839";"400277809";"PREPAY_HYP";"";"";"";"";""
"53.9000000000000000";"CHF";"A0005829929";"400269378";"PREPAY";"";"";"";"";""
"167.0000000000000000";"CHF";"A0005830493";"400269031";"PAYOLUTION";"400269031";"A0005830493";"PAYOLUTION";"1";"167.0000000000000000"
"25.5000000000000000";"CHF";"A0005830660";"400269218";"PREPAY";"";"";"";"";""
"22.4000000000000000";"CHF";"A0005830664";"400268992";"PAYPAL";"400268992";"A0005830664";"PAYPAL";"1";"22.4000000000000000"
"76.0000000000000000";"CHF";"A0005830754";"400269175";"PAYOLUTION";"400269175";"A0005830754";"PAYOLUTION";"1";"76.0000000000000000"
"113.8000000000000000";"CHF";"A0005831133";"400270178";"PREPAY";"";"";"";"";""
"61.0000000000000000";"CHF";"A0005831178";"400270301";"PREPAY";"";"";"";"";""
"36.5000000000000000";"CHF";"A0005831248";"400269341";"PREPAY";"";"";"";"";""
"625.0000000000000000";"CHF";"A0005831287";"400269331";"PENSIO_CC";"";"";"";"";""
"24.4000000000000000";"CHF";"A0005831528";"400270379";"PAYOLUTION";"400270379";"A0005831528";"PAYOLUTION";"1";"24.4000000000000000"
"62.2500000000000000";"CHF";"A0005831787";"400261576";"PREPAY";"";"";"";"";""
"69.8000000000000000";"CHF";"A0005831792";"400269911";"PENSIO_CC";"";"";"";"";""
"42.4000000000000000";"CHF";"A0005831794";"400269935";"PAYOLUTION";"400269935";"A0005831794";"PAYOLUTION";"1";"42.4000000000000000"
"328.0000000000000000";"CHF";"A0005831796";"400270082";"PAYPAL";"400270082";"A0005831796";"PAYPAL";"1";"328.0000000000000000"
"51.2000000000000000";"CHF";"A0005831881";"400270431";"PREPAY";"";"";"";"";""
"173.7000000000000000";"CHF";"A0005831964";"400271345";"PREPAY";"";"";"";"";""
"107.8000000000000000";"CHF";"A0005831973";"400271330";"PAYOLUTION";"400271330";"A0005831973";"PAYOLUTION";"1";"107.8000000000000000"
"19.0000000000000000";"CHF";"A0005832001";"400269368";"PENSIO_CC";"";"";"";"";""
"2.3000000000000000";"CHF";"A0005832006";"400269453";"PREPAY";"";"";"";"";""
"98.9000000000000000";"CHF";"A0005832030";"400269645";"PENSIO_CC";"";"";"";"";""
"110.1000000000000000";"CHF";"A0005832055";"400269818";"PREPAY";"";"";"";"";""
"127.2000000000000000";"CHF";"A0005832441";"400270151";"PREPAY";"";"";"";"";""
"341.1000000000000000";"CHF";"A0005832489";"400270263";"PREPAY";"";"";"";"";""
"15.8000000000000000";"CHF";"A0005832720";"400270980";"PREPAY";"";"";"";"";""
"66.4000000000000000";"CHF";"A0005832725";"400271028";"PREPAY";"";"";"";"";""
"88.0000000000000000";"CHF";"A0005832807";"400271135";"PREPAY";"";"";"";"";""
"798.0000000000000000";"CHF";"A0005832927";"400270881";"PAYOLUTION";"400270881";"A0005832927";"PAYOLUTION";"1";"798.0000000000000000"
"42.3000000000000000";"CHF";"A0005833170";"400270621";"PREPAY";"";"";"";"";""
"120.5000000000000000";"CHF";"A0005833396";"400270986";"PREPAY";"";"";"";"";""
"88.0000000000000000";"CHF";"A0005833532";"400270954";"PREPAY";"";"";"";"";""
"405.0000000000000000";"CHF";"A0005833834";"400270532";"PREPAY";"";"";"";"";""
"37.3000000000000000";"CHF";"A0005833849";"400270597";"PREPAY";"";"";"";"";""
"80.3000000000000000";"CHF";"A0005833952";"400271588";"PREPAY";"";"";"";"";""
"72.2000000000000000";"CHF";"A0005834040";"400270947";"PREPAY";"";"";"";"";""
"1058.9000000000000000";"CHF";"A0005834052";"400270961";"PREPAY";"";"";"";"";""
"58.1000000000000000";"CHF";"A0005834393";"400270737";"PREPAY";"";"";"";"";""
"69.0000000000000000";"CHF";"A0005834499";"400271391";"PAYOLUTION";"400271391";"A0005834499";"PAYOLUTION";"1";"69.0000000000000000"
"465.8000000000000000";"CHF";"A0005834553";"400271547";"PREPAY";"";"";"";"";""
"113.9000000000000000";"CHF";"A0005834710";"400271750";"PREPAY";"";"";"";"";""
"33.3000000000000000";"CHF";"A0005834712";"400271476";"PREPAY";"";"";"";"";""
